sn,employeeNumber,employeeType,givenName,o,postalCode,roomNumber,telephoneNumber,uid
"Post","152920","Teacher","Bas","NHL Stenden","91678AA","N-A3-005","+31693017703","bpost"
"Bos","920791","Teacher","Koen","NHL Stenden","92781AA","Z-D4-068","+31622248309","kbos"
"Bos","862872","Teacher","Nora","NHL Stenden","96944AA","N-B3-093","+31662941619","nbos"
"Blok","822492","Teacher","Floor","NHL Stenden","99023AA","Z-E1-018","+31695161098","fblok"
"Hoek","497488","Teacher","Julia","NHL Stenden","92903AA","Z-C5-145","+31616719759","jhoek"
"Meijer","207655","Teacher","Kim","NHL Stenden","97921AA","Z-D1-001","+31627745958","kmeijer"
"Hoek","742057","Teacher","Lieke","NHL Stenden","93921AA","N-A1-030","+31682520217","lhoek"
"Visser","746418","Teacher","Bart","NHL Stenden","97380AA","N-A2-144","+31658129589","bvisser"
"Meijer","853922","Teacher","Daan","NHL Stenden","95915AA","N-D5-131","+31678709572","dmeijer"
"van Dam","482001","Teacher","Kim","NHL Stenden","98707AA","N-A3-007","+31686317529","kvandam"
"Sanders","691264","Teacher","Luc","NHL Stenden","91467AA","Z-A5-073","+31686965470","lsanders"
"de Wit","659640","Teacher","Nora","NHL Stenden","99635AA","Z-C5-136","+31630287475","ndewit"
"Willems","593102","Teacher","Tom","NHL Stenden","97554AA","N-C4-069","+31614819010","twillems"
"Hendriks","121483","Teacher","Cas","NHL Stenden","94110AA","Z-C3-104","+31656809325","chendriks"
"Dekker","918914","Teacher","Diana","NHL Stenden","99656AA","N-E1-040","+31683024552","ddekker"
"Willems","355949","Teacher","Guus","NHL Stenden","96921AA","N-C4-031","+31694124258","gwillems"
"Willems","830753","Teacher","Joep","NHL Stenden","95913AA","N-D2-122","+31632304130","jwillems"
"Janssen","561957","Teacher","Mark","NHL Stenden","94483AA","N-A3-075","+31643849715","mjanssen"
"Mulder","381227","Teacher","Mieke","NHL Stenden","95107AA","Z-A1-145","+31679701474","mmulder"
"Schouten","577315","Teacher","Emma","NHL Stenden","93914AA","N-C4-104","+31697990249","eschouten"
"Hoekstra","585887","Teacher","Iris","NHL Stenden","98048AA","N-B1-073","+31633678201","ihoekstra"
"Dekker","765317","Teacher","Isabel","NHL Stenden","95534AA","N-D3-063","+31671509163","idekker"
"Schouten","369866","Teacher","Lara","NHL Stenden","93851AA","N-B3-113","+31689128441","lschouten"
"de Haan","233437","Teacher","Lieke","NHL Stenden","95640AA","Z-E5-077","+31665543910","ldehaan"
"de Vries","883749","Teacher","Lisa","NHL Stenden","94455AA","Z-C2-058","+31683635397","ldevries"
"Hoekstra","486724","Teacher","Mees","NHL Stenden","94987AA","Z-D5-123","+31682834830","mhoekstra"
"Wit","817444","Teacher","Pieter","NHL Stenden","95487AA","Z-C4-144","+31643328865","pdewit"
"Boer","520232","Teacher","Sanne","NHL Stenden","91698AA","N-B1-100","+31652923763","sdeboer"
"de Koning","652548","Teacher","Wim","NHL Stenden","93430AA","N-E1-094","+31636046675","wdekoning"
"Hendriks","426903","Teacher","Anouk","NHL Stenden","96727AA","Z-D2-136","+31684000800","ahendriks"
"de Koning","404179","Teacher","Liam","NHL Stenden","99065AA","N-D1-064","+31628627904","ldekoning"
"van Dijk","311012","Teacher","Milan","NHL Stenden","97688AA","Z-D4-098","+31630993343","mvandijk"
"de Bruijn","923565","Teacher","Noah","NHL Stenden","92244AA","N-D5-023","+31667195077","ndebruijn"
"Dijk","427668","Teacher","Jeroen","NHL Stenden","91321AA","N-D2-144","+31689962078","jvandijk"
"van der Linden","827819","Teacher","Evi","NHL Stenden","92541AA","N-E3-140","+31664862816","evanderlinden"
"van der Linden","310597","Teacher","Ruben","NHL Stenden","93919AA","N-E5-149","+31669595829","rvanderlinden"
